,year,Week,Day,Date,,,,OT,Rec,,Opp
0,2018,1,Sun,September 9,4:25PM ET,boxscore,L,,0-1,@,Denver Broncos
1,2018,2,Mon,September 17,8:15PM ET,boxscore,L,,0-2,@,Chicago Bears
2,2018,3,Sun,September 23,4:25PM ET,boxscore,W,,1-2,,Dallas Cowboys
3,2018,4,Sun,September 30,4:05PM ET,boxscore,W,,2-2,@,Arizona Cardinals
4,2018,5,Sun,October 7,4:25PM ET,boxscore,L,,2-3,,Los Angeles Rams
5,2018,6,Sun,October 14,1:00PM ET,boxscore,W,,3-3,@,Oakland Raiders
6,2018,7,,,,,,,,,Bye Week
7,2018,8,Sun,October 28,1:00PM ET,boxscore,W,,4-3,@,Detroit Lions
8,2018,9,Sun,November 4,4:05PM ET,boxscore,L,,4-4,,Los Angeles Chargers
9,2018,10,Sun,November 11,4:25PM ET,boxscore,L,,4-5,@,Los Angeles Rams
10,2018,11,Thu,November 15,8:20PM ET,boxscore,W,,5-5,,Green Bay Packers
11,2018,12,Sun,November 25,1:00PM ET,boxscore,,,,@,Carolina Panthers
12,2018,13,Sun,December 2,4:25PM ET,preview,,,,,San Francisco 49ers
13,2018,14,Mon,December 10,8:15PM ET,preview,,,,,Minnesota Vikings
14,2018,15,Sun,December 16,4:05PM ET,preview,,,,@,San Francisco 49ers
15,2018,16,Sun,December 23,8:20PM ET,preview,,,,,Kansas City Chiefs
16,2018,17,Sun,December 30,4:25PM ET,preview,,,,,Arizona Cardinals
